cluster label,X,Y
Communication networks and signal processing,28689.62,8741.59
Security and encryption,41847.81,9463.58
Scheduling,30779.39,12758.03
Graphs,29460.18,16596.83
Personalization,41553.76,16738.36
Sentiment,46326.72,17917.06
Education,45200.98,19796.53
Language,44533.01,20790.21
Policy,41402.02,19909.07
Finance,38190.05,19037.81
Decision making,33516.3,18939.31
Speech,43121.1,23750.78
Emotions,45932.65,24106.2
Machine learning,33325.11,25081.33
Motor skills ,42251.47,28395.24
Mental disorders,48781.13971,29976.3759
Brains and neurology,46307.18678,29874.46335
Cardiovascular disease,49047.97078,33937.42269
Image and video,31800.3197,34599.65881
HIV,51755.58963,38203.55591
Genetics,42351.70157,38453.85027
Proteins,37797.83556,40233.44912
Cancer prognoses and treatment,46437.01613,42154.29335
Surgery,49047.35147,42414.2935
Cancer diagnoses,43616.65816,45564.27821
Medical imaging,39870.59291,46111.02541
Radioation therapy,35797.43159,49023.52205
Eyes,40901.95685,51850.59582
Space,22575.71847,50486.24434
"Agriculture, forestry and land use",24664.29143,45957.22982
Oceans,18384.47519,46704.89208
Weather and climate,18672.0744,45185.42549
Water,17135.36189,43211.18274
Radar and remote sensing,22272.5406,32050.94617
Materials,26752.49761,39612.40145
Earthquakes,14277.35265,41189.38919
Construction,15473.15284,32193.25897
Antennas,21164.06535,30663.71569
Engines,11220.54728,31407.61272
Energy ,8474.832608,22875.65966
Spaceflight,15629.17672,23460.68285
Robotics,17773.32815,23924.27082
Filtering,24772.98615,26182.90002
Traffic and transportation,17694.38543,18667.37265
Production and manufacturing,19399.22624,14339.90557
Vehicles,22088.46005,10745.56654
